"tipo_cultivo","tipo_suelo","metodo_riego","fertilizacion_utilizada","nivel_tecnificacion","volumen_agua","rendimiento_cultivo","eficiencia_agua","densidad_siembra"
"banano","franco-arcilloso","gravedad","química","medio",6588,24220,3.6764,3760
"banano","franco-arcilloso","gravedad","química","bajo",8079,20188,2.4988,3146
"sandía","franco-arcilloso","gravedad","orgánica","bajo",6992,13245,1.8943,3167
"plátano verde","arenoso","goteo","orgánica","medio",4448,23278,5.2334,4799
"maíz","franco","gravedad","orgánica","medio",7883,8314,1.0547,3335
"cacao","arenoso","gravedad","mixta","medio",6493,1575,0.2426,4194
"sandía","arcilloso","aspersión","mixta","medio",6094,13231,2.1712,3239
"maíz","franco","aspersión","mixta","alto",8541,8635,1.011,3481
"banano","arenoso","goteo","mixta","bajo",6910,18256,2.642,4711
"arroz","arenoso","goteo","orgánica","alto",5134,9947,1.9375,3067
"maíz","franco","goteo","orgánica","alto",8444,9763,1.1562,3587
"sandía","arenoso","gravedad","química","medio",5705,11662,2.0442,3157
"cacao","arcilloso","goteo","química","medio",6238,1623,0.2602,4285
"plátano verde","arcilloso","gravedad","mixta","medio",7138,19046,2.6683,3989
"plátano verde","arcilloso","goteo","química","medio",7201,23265,3.2308,2122
"maíz","arcilloso","gravedad","mixta","bajo",8191,8631,1.0537,2809
"cacao","arenoso","gravedad","orgánica","medio",9018,1721,0.1908,4121
"plátano verde","franco","aspersión","orgánica","bajo",8951,18022,2.0134,3170
"maíz","arcilloso","aspersión","mixta","bajo",4461,8687,1.9473,5085
"arroz","franco","goteo","química","medio",6680,7915,1.1849,3367
"maíz","arenoso","aspersión","química","alto",5531,9612,1.7378,4994
"plátano verde","arenoso","aspersión","química","medio",8987,13465,1.4983,3413
"arroz","franco","aspersión","química","medio",7803,7753,0.9936,3630
"banano","franco","gravedad","orgánica","medio",7581,20102,2.6516,5074
"arroz","franco","gravedad","orgánica","medio",8537,7843,0.9187,4133
"banano","arcilloso","goteo","química","medio",8089,25869,3.198,3041
"cacao","arcilloso","goteo","mixta","medio",6766,1338,0.1978,4393
"cacao","arcilloso","goteo","mixta","bajo",6837,1356,0.1983,3336
"banano","franco-arcilloso","goteo","química","medio",5857,28222,4.8185,4280
"cacao","arcilloso","aspersión","química","medio",12817,765,0.0597,2684
"cacao","arcilloso","aspersión","orgánica","bajo",6079,1354,0.2227,3670
"maíz","franco-arcilloso","goteo","orgánica","medio",4836,9681,2.0019,4967
"sandía","franco-arcilloso","goteo","mixta","medio",4954,12251,2.473,4386
"arroz","franco","gravedad","orgánica","bajo",3498,6417,1.8345,4027
"arroz","arcilloso","aspersión","orgánica","bajo",4905,7690,1.5678,5270
"maíz","arcilloso","goteo","química","alto",7078,8233,1.1632,4587
"sandía","franco","gravedad","química","medio",6613,10683,1.6155,4209
"maíz","arcilloso","goteo","orgánica","bajo",6621,7346,1.1095,3030
"maíz","franco-arcilloso","gravedad","química","bajo",8776,8126,0.9259,4114
"arroz","arcilloso","goteo","química","bajo",6101,7676,1.2582,6278
"banano","franco-arcilloso","gravedad","química","medio",8488,25431,2.9961,4431
"cacao","arcilloso","gravedad","orgánica","bajo",7456,1270,0.1703,3148
"melón","arcilloso","goteo","química","alto",7690,11197,1.456,3674
"banano","franco","goteo","química","bajo",6281,28003,4.4584,3648
"arroz","arcilloso","gravedad","química","medio",9370,5277,0.5632,4324
"melón","arcilloso","aspersión","química","medio",5531,9172,1.6583,5059
"banano","arenoso","gravedad","mixta","bajo",8262,26371,3.1918,3003
"cacao","franco-arcilloso","aspersión","química","alto",6653,1390,0.2089,3088
"banano","arcilloso","gravedad","química","bajo",6209,25725,4.1432,3163
"arroz","franco","gravedad","orgánica","medio",6687,10078,1.5071,4978
"cacao","franco-arcilloso","goteo","mixta","bajo",7350,1646,0.2239,4089
"plátano verde","arcilloso","gravedad","mixta","medio",6260,24160,3.8594,4031
"cacao","franco-arcilloso","aspersión","química","medio",5965,1449,0.2429,3797
"cacao","arcilloso","goteo","mixta","alto",6833,1410,0.2064,3786
"sandía","arcilloso","goteo","química","alto",5270,13536,2.5685,2873
"sandía","arenoso","gravedad","mixta","alto",9286,11467,1.2349,3782
"plátano verde","arcilloso","gravedad","mixta","bajo",7123,23129,3.2471,3086
"banano","franco","goteo","química","medio",3311,25332,7.6509,5732
"plátano verde","arenoso","gravedad","química","medio",7795,20338,2.6091,3682
"sandía","franco","gravedad","orgánica","medio",7296,11017,1.51,4779
"melón","franco","gravedad","mixta","alto",8880,10559,1.1891,3393
"arroz","franco","aspersión","orgánica","medio",7995,6845,0.8562,5417
"cacao","franco-arcilloso","gravedad","química","alto",8627,1559,0.1807,4695
"banano","arenoso","gravedad","orgánica","medio",7661,22965,2.9977,3715
"arroz","arcilloso","aspersión","química","alto",5897,8914,1.5116,4854
"cacao","franco-arcilloso","gravedad","orgánica","medio",12684,898,0.0708,3594
"arroz","franco-arcilloso","gravedad","orgánica","alto",5004,9937,1.9858,3449
"sandía","franco","goteo","mixta","alto",4795,12666,2.6415,3986
"maíz","arcilloso","gravedad","química","medio",8168,10850,1.3284,4439
"cacao","franco-arcilloso","goteo","química","medio",6023,1301,0.216,3015
"banano","arcilloso","gravedad","mixta","bajo",7424,27069,3.6461,3124
"banano","arenoso","aspersión","química","medio",8528,28310,3.3197,2899
"cacao","arcilloso","goteo","química","alto",6243,1564,0.2505,4162
"cacao","franco","goteo","orgánica","bajo",5530,1330,0.2405,4407
"plátano verde","arenoso","gravedad","mixta","bajo",9164,17723,1.934,4998
"banano","arenoso","aspersión","mixta","medio",7949,26005,3.2715,4296
"maíz","franco","goteo","química","medio",6427,9179,1.4282,2157
"plátano verde","franco","aspersión","mixta","medio",7694,21129,2.7462,3102
"cacao","franco","goteo","orgánica","bajo",6790,1313,0.1934,4540
"melón","franco","aspersión","orgánica","medio",7135,10317,1.446,3922
"plátano verde","franco","aspersión","orgánica","medio",8157,24424,2.9942,3693
"banano","franco","aspersión","química","alto",4379,28070,6.4101,4194
"plátano verde","arcilloso","aspersión","química","alto",6430,24720,3.8445,3453
"maíz","arcilloso","goteo","mixta","medio",6792,9339,1.375,4765
"banano","arenoso","gravedad","química","medio",8059,26347,3.2693,3527
"banano","franco-arcilloso","goteo","química","medio",5342,27016,5.0573,4343
"maíz","franco-arcilloso","goteo","mixta","medio",5009,9347,1.866,4583
"cacao","arenoso","gravedad","mixta","alto",9435,916,0.0971,4089
"plátano verde","arenoso","aspersión","química","medio",6713,21449,3.1951,4350
"maíz","arenoso","aspersión","orgánica","medio",5267,9599,1.8225,3894
"cacao","franco","goteo","química","medio",5619,1679,0.2988,4583
"plátano verde","franco","gravedad","orgánica","medio",6904,17393,2.5193,4544
"banano","franco-arcilloso","goteo","mixta","alto",7525,27789,3.6929,2433
"sandía","franco","aspersión","mixta","bajo",4521,9543,2.1108,4136
"cacao","franco","goteo","química","medio",6750,1729,0.2561,4656
"cacao","franco","aspersión","química","medio",7351,1424,0.1937,4001
"sandía","arcilloso","goteo","química","bajo",7717,9830,1.2738,4326
"melón","arcilloso","goteo","orgánica","medio",6686,9590,1.4343,3724
"melón","arenoso","aspersión","orgánica","medio",5994,10129,1.6899,3999
"cacao","arcilloso","goteo","mixta","medio",6227,1209,0.1942,3703
"maíz","franco-arcilloso","gravedad","química","medio",6599,10853,1.6446,2567
"maíz","franco-arcilloso","aspersión","química","bajo",10561,9219,0.8729,3665
"maíz","franco-arcilloso","goteo","orgánica","bajo",8466,8995,1.0625,2993
"maíz","arcilloso","gravedad","química","bajo",9707,8610,0.887,4029
"arroz","franco-arcilloso","aspersión","mixta","bajo",8086,8335,1.0308,4120
"maíz","arenoso","aspersión","química","alto",5980,10846,1.8137,4489
"plátano verde","arenoso","gravedad","mixta","medio",7120,23180,3.2556,3306
"melón","franco-arcilloso","aspersión","química","alto",5708,13707,2.4014,4835
"maíz","franco","goteo","química","medio",6160,9717,1.5774,4824
"plátano verde","franco","gravedad","orgánica","alto",9430,22887,2.427,2647
"melón","arenoso","goteo","mixta","medio",8986,9335,1.0388,3022
"cacao","arenoso","aspersión","química","medio",6938,1265,0.1823,3953
"cacao","franco-arcilloso","gravedad","mixta","bajo",7209,1298,0.1801,5199
"cacao","franco","gravedad","mixta","medio",5901,1007,0.1706,2702
"banano","franco","gravedad","mixta","alto",5790,22351,3.8603,4422
"plátano verde","franco-arcilloso","goteo","orgánica","alto",5197,22191,4.27,2946
"arroz","arenoso","aspersión","química","alto",3643,7900,2.1685,4301
"plátano verde","arenoso","aspersión","química","medio",6371,23450,3.6807,4516
"sandía","arenoso","aspersión","mixta","bajo",7426,10385,1.3985,2784
"cacao","arcilloso","gravedad","orgánica","medio",9244,1296,0.1402,4082
"sandía","franco-arcilloso","goteo","mixta","medio",6392,12672,1.9825,3414
"banano","franco-arcilloso","aspersión","mixta","bajo",8482,26398,3.1122,4311
"cacao","franco-arcilloso","aspersión","mixta","alto",5011,1385,0.2764,3876
"sandía","arcilloso","goteo","mixta","medio",5603,13076,2.3337,4683
"plátano verde","franco","gravedad","mixta","medio",6253,25692,4.1087,4820
"banano","franco","gravedad","química","bajo",9277,21695,2.3386,5396
"arroz","franco","aspersión","química","bajo",7450,8098,1.087,5074
"plátano verde","arcilloso","aspersión","mixta","bajo",6496,21849,3.3635,4085
"sandía","franco","gravedad","orgánica","bajo",7156,13342,1.8644,4285
"maíz","franco","goteo","química","alto",4750,10083,2.1227,2792
"banano","arenoso","gravedad","química","bajo",7285,21198,2.9098,3913
"banano","arcilloso","gravedad","mixta","medio",6373,24508,3.8456,1975
"arroz","arcilloso","aspersión","mixta","medio",6876,7680,1.1169,4259
"cacao","franco","gravedad","mixta","bajo",8710,1541,0.1769,4548
"melón","arcilloso","aspersión","química","alto",6835,11408,1.6691,3711
"banano","arcilloso","goteo","orgánica","medio",7044,22172,3.1476,3427
"melón","franco","aspersión","orgánica","medio",7207,10184,1.4131,2323
"plátano verde","franco","aspersión","química","bajo",6729,20100,2.9871,4413
"banano","arcilloso","goteo","mixta","medio",7646,24386,3.1894,3595
"arroz","arenoso","gravedad","orgánica","medio",8371,7588,0.9065,3655
"melón","franco","gravedad","química","medio",6734,12225,1.8154,4040
"melón","arcilloso","gravedad","orgánica","alto",8210,9792,1.1927,4416
"banano","franco-arcilloso","aspersión","mixta","bajo",7058,25082,3.5537,3043
"plátano verde","arenoso","aspersión","química","medio",17755,12437,0.7005,3354
"maíz","arcilloso","goteo","orgánica","alto",6618,8077,1.2205,2510
"plátano verde","franco","goteo","mixta","medio",7052,19889,2.8203,5367
"sandía","arenoso","aspersión","orgánica","alto",5483,12721,2.3201,4880
"banano","franco-arcilloso","aspersión","química","medio",5639,27664,4.9058,3578
"maíz","franco","goteo","química","medio",6684,8482,1.269,4558
"maíz","arenoso","goteo","orgánica","alto",5791,11001,1.8997,3729
"cacao","arcilloso","goteo","química","bajo",6453,1466,0.2272,2848
"arroz","arcilloso","gravedad","mixta","alto",6474,8605,1.3292,4519
"arroz","franco","goteo","química","alto",6135,8794,1.4334,4588
"arroz","arcilloso","gravedad","orgánica","alto",8290,8898,1.0733,4075
"sandía","franco","goteo","química","medio",7358,9986,1.3572,4701
"sandía","franco","aspersión","química","alto",6399,10965,1.7135,2077
"sandía","arcilloso","aspersión","química","medio",3443,12617,3.6645,3567
"cacao","franco","goteo","orgánica","bajo",8299,1445,0.1741,5316
"cacao","arenoso","goteo","orgánica","bajo",8277,1477,0.1784,2743
"sandía","arcilloso","aspersión","mixta","medio",9279,11509,1.2403,3843
"banano","arenoso","gravedad","química","alto",4638,26384,5.6887,5002
"banano","franco-arcilloso","gravedad","química","medio",7240,19454,2.687,4177
"melón","franco","goteo","orgánica","medio",6828,10672,1.563,3960
"maíz","arenoso","goteo","química","medio",7017,8594,1.2247,3852
"banano","arcilloso","aspersión","mixta","alto",7374,27777,3.7669,3431
"sandía","arcilloso","goteo","química","medio",10960,4717,0.4304,4248
"plátano verde","franco-arcilloso","goteo","química","medio",6863,21711,3.1635,3189
"melón","franco","aspersión","orgánica","medio",5500,9900,1.8,3781
"banano","arcilloso","goteo","mixta","bajo",4988,21621,4.3346,4460
"maíz","franco","gravedad","mixta","bajo",6570,8840,1.3455,3781
"melón","franco","goteo","mixta","bajo",7339,9209,1.2548,3805
"cacao","franco","gravedad","orgánica","medio",8240,1198,0.1454,4185
"arroz","franco","gravedad","química","bajo",7269,8302,1.1421,4167
"arroz","arcilloso","goteo","química","alto",4421,8530,1.9294,4089
"melón","franco-arcilloso","aspersión","mixta","alto",6516,9598,1.473,3826
"plátano verde","arcilloso","goteo","mixta","bajo",6252,21537,3.4448,5306
"plátano verde","franco-arcilloso","aspersión","orgánica","medio",6224,19900,3.1973,3527
"maíz","arenoso","aspersión","química","bajo",13390,4896,0.3656,3902
"melón","arenoso","goteo","mixta","bajo",6321,10236,1.6194,4127
"cacao","franco-arcilloso","aspersión","orgánica","medio",6912,1525,0.2206,3936
"banano","franco","aspersión","mixta","medio",9871,19509,1.9764,3902
"cacao","franco","goteo","orgánica","alto",7375,1582,0.2145,3597
"melón","franco-arcilloso","aspersión","mixta","bajo",6473,7788,1.2032,4594
"plátano verde","arcilloso","gravedad","mixta","bajo",6755,19607,2.9026,3529
"maíz","franco-arcilloso","gravedad","orgánica","bajo",10255,7691,0.75,3885
"melón","franco-arcilloso","aspersión","química","bajo",7342,9527,1.2976,3982
"banano","arenoso","goteo","química","alto",4518,32067,7.0976,4056
"banano","franco","aspersión","orgánica","alto",6580,28689,4.36,3967
"sandía","arenoso","goteo","mixta","bajo",5233,11335,2.1661,2729
"banano","arenoso","goteo","química","alto",4461,28331,6.3508,2840
"sandía","franco","gravedad","mixta","bajo",7562,11973,1.5833,3885
"plátano verde","arenoso","gravedad","mixta","medio",5815,20340,3.4979,2865
"plátano verde","franco","goteo","orgánica","medio",4834,21779,4.5054,2205
"cacao","arenoso","goteo","mixta","bajo",5816,1415,0.2433,3609
"plátano verde","franco-arcilloso","gravedad","química","alto",8128,21695,2.6692,4443
"plátano verde","arenoso","gravedad","química","alto",7067,21685,3.0685,4508
"arroz","franco","goteo","orgánica","alto",6620,9187,1.3878,4077
"banano","arcilloso","gravedad","orgánica","medio",7277,23374,3.212,2526
"banano","franco","aspersión","orgánica","medio",6759,25351,3.7507,2904
"melón","franco","aspersión","orgánica","medio",7588,8773,1.1562,2992
"cacao","arenoso","gravedad","mixta","bajo",5734,1379,0.2405,3404
"banano","arenoso","gravedad","orgánica","medio",8245,27013,3.2763,5134
"arroz","franco-arcilloso","goteo","mixta","medio",6722,7885,1.173,3052
"plátano verde","franco","goteo","química","alto",6041,18968,3.1399,3236
"arroz","franco-arcilloso","aspersión","mixta","medio",5390,8770,1.6271,4230
"banano","arenoso","gravedad","orgánica","medio",5454,26861,4.925,3230
"plátano verde","franco-arcilloso","goteo","mixta","bajo",13879,7809,0.5626,5474
"plátano verde","arcilloso","gravedad","orgánica","bajo",8545,19719,2.3077,4384
"arroz","arenoso","gravedad","orgánica","medio",8737,8475,0.97,4545
"banano","franco","goteo","orgánica","bajo",8923,20555,2.3036,4020
"arroz","arcilloso","gravedad","mixta","medio",8481,7867,0.9276,4330
"sandía","franco","goteo","química","bajo",6432,14633,2.275,2948
"banano","arenoso","aspersión","orgánica","medio",6361,22055,3.4672,2603
"banano","franco","goteo","orgánica","medio",6637,23513,3.5427,3527
"sandía","arcilloso","goteo","mixta","bajo",5436,11164,2.0537,3216
"sandía","arenoso","aspersión","química","alto",4379,13055,2.9813,2643
"banano","arenoso","goteo","mixta","medio",7375,23973,3.2506,3995
"melón","arcilloso","gravedad","química","medio",5767,8003,1.3877,3011
"melón","arcilloso","gravedad","química","alto",6751,12139,1.7981,2890
"cacao","arcilloso","gravedad","mixta","bajo",7186,1566,0.2179,4054
"melón","franco","aspersión","orgánica","medio",6136,10250,1.6705,3915
"sandía","franco","goteo","mixta","medio",7805,11703,1.4994,3343
"melón","arcilloso","gravedad","orgánica","bajo",7548,8994,1.1916,4633
"sandía","franco-arcilloso","aspersión","orgánica","bajo",9753,12478,1.2794,3496
"cacao","arcilloso","goteo","química","alto",7200,1588,0.2206,2372
"plátano verde","franco","aspersión","orgánica","medio",4917,24055,4.8922,4054
"sandía","franco-arcilloso","aspersión","mixta","alto",6808,10942,1.6072,4571
"maíz","arcilloso","aspersión","mixta","bajo",7562,7404,0.9791,4704
"plátano verde","franco-arcilloso","gravedad","orgánica","medio",7724,17210,2.2281,4531
"plátano verde","arcilloso","aspersión","orgánica","bajo",7534,19328,2.5654,2904
"arroz","arenoso","gravedad","mixta","medio",7496,7987,1.0655,4333
"maíz","arcilloso","goteo","orgánica","medio",7500,10163,1.3551,4816
"arroz","franco","gravedad","orgánica","alto",6199,7856,1.2673,2578
"plátano verde","arenoso","aspersión","mixta","alto",4449,23362,5.2511,3016
"sandía","arenoso","gravedad","química","bajo",6222,9837,1.581,5234
"banano","franco-arcilloso","aspersión","orgánica","bajo",7671,20220,2.6359,3946
"cacao","arcilloso","gravedad","orgánica","alto",7686,1451,0.1888,5237
"melón","franco","gravedad","orgánica","medio",9398,9896,1.053,5749
"sandía","arenoso","goteo","química","medio",7420,12284,1.6555,4372
"maíz","franco-arcilloso","aspersión","mixta","alto",6003,9353,1.5581,3175
"arroz","arcilloso","gravedad","orgánica","alto",7702,8211,1.0661,4941
"banano","franco","aspersión","mixta","alto",7133,24789,3.4753,4662
"plátano verde","arenoso","aspersión","orgánica","alto",7966,25259,3.1709,3148
"arroz","arcilloso","goteo","química","bajo",6916,6538,0.9453,4715
"melón","franco","goteo","orgánica","medio",7623,11938,1.5661,5592
"banano","arcilloso","aspersión","química","medio",5326,27274,5.1209,5563
"cacao","arcilloso","aspersión","orgánica","medio",7847,1458,0.1858,2575
"plátano verde","arcilloso","aspersión","mixta","medio",6986,19185,2.7462,4530
"maíz","franco-arcilloso","aspersión","mixta","medio",5951,7914,1.3299,4182
"plátano verde","franco","gravedad","química","bajo",9628,19247,1.9991,2753
"plátano verde","franco","goteo","mixta","alto",5414,28597,5.282,3392
"melón","franco-arcilloso","aspersión","mixta","medio",6587,9353,1.4199,4059
"melón","arenoso","aspersión","química","alto",5003,10072,2.0132,3155
"melón","franco-arcilloso","gravedad","química","bajo",7109,9180,1.2913,3806
"melón","franco","goteo","mixta","bajo",5630,10287,1.8272,4521
"banano","franco","gravedad","mixta","medio",5729,22322,3.8963,4400
"sandía","arenoso","goteo","orgánica","bajo",5971,11034,1.8479,3208
"cacao","franco-arcilloso","goteo","orgánica","medio",6346,1303,0.2053,4278
"arroz","arenoso","goteo","orgánica","bajo",8498,7651,0.9003,2918
"maíz","franco","aspersión","mixta","bajo",6394,9197,1.4384,3886
"plátano verde","arcilloso","goteo","mixta","medio",6122,21425,3.4997,2958
"plátano verde","arcilloso","gravedad","mixta","medio",8324,19537,2.3471,3697
"banano","franco-arcilloso","aspersión","mixta","alto",6494,21647,3.3334,3765
"banano","arcilloso","goteo","química","medio",8775,22630,2.5789,5210
"maíz","franco-arcilloso","aspersión","mixta","bajo",9019,10010,1.1099,4510
"arroz","franco","goteo","química","bajo",7149,8606,1.2038,3589
"maíz","franco-arcilloso","aspersión","orgánica","medio",7700,9604,1.2473,4254
"melón","arenoso","goteo","química","medio",7145,9650,1.3506,2683
"banano","arcilloso","goteo","química","bajo",7847,20362,2.5949,4002
"arroz","arcilloso","aspersión","química","bajo",5152,7623,1.4796,3945
"plátano verde","franco-arcilloso","gravedad","mixta","bajo",6967,20704,2.9717,3588
"melón","franco-arcilloso","goteo","mixta","medio",8741,11116,1.2717,3392
"plátano verde","arcilloso","goteo","mixta","medio",7527,19439,2.5826,2050
"arroz","arcilloso","aspersión","química","medio",6875,6237,0.9072,4679
"melón","arenoso","goteo","mixta","alto",5472,9436,1.7244,3723
"maíz","franco-arcilloso","gravedad","química","medio",6382,9050,1.4181,3802
"maíz","franco","aspersión","mixta","alto",15935,2614,0.164,2284
"plátano verde","franco-arcilloso","aspersión","orgánica","alto",6363,24943,3.92,3585
"sandía","arenoso","goteo","química","medio",6178,10901,1.7645,5379
"arroz","arenoso","aspersión","mixta","medio",5374,6848,1.2743,2632
"sandía","arenoso","gravedad","orgánica","bajo",7090,10031,1.4148,3191
"melón","franco","aspersión","química","alto",6997,9709,1.3876,3507
"maíz","franco-arcilloso","goteo","orgánica","medio",6710,8821,1.3146,4037
"sandía","arenoso","gravedad","orgánica","medio",5074,12773,2.5173,4067
"melón","franco-arcilloso","aspersión","química","medio",9516,8394,0.8821,5713
"cacao","franco-arcilloso","goteo","orgánica","medio",5785,1286,0.2223,4107
"sandía","franco-arcilloso","gravedad","mixta","medio",7820,12255,1.5671,3563
"cacao","franco-arcilloso","aspersión","orgánica","medio",6859,1537,0.2241,5503
"cacao","franco-arcilloso","aspersión","mixta","alto",4594,1238,0.2695,2018
"melón","arenoso","goteo","orgánica","medio",8907,8108,0.9103,3275
"banano","franco-arcilloso","gravedad","química","medio",4380,29917,6.8304,3182
"sandía","franco-arcilloso","gravedad","mixta","medio",6454,11132,1.7248,2982
"cacao","arenoso","aspersión","química","medio",6568,1538,0.2342,4367
"plátano verde","arenoso","goteo","orgánica","bajo",6375,21843,3.4264,4130
"plátano verde","franco","gravedad","química","alto",7163,23950,3.3436,4669
"arroz","arcilloso","aspersión","orgánica","medio",4149,6633,1.5987,4401
"arroz","arenoso","gravedad","mixta","alto",7876,8365,1.0621,3349
"cacao","franco","goteo","orgánica","medio",6900,1440,0.2087,3772
"arroz","arenoso","aspersión","orgánica","medio",15413,4277,0.2775,5367
"arroz","arenoso","gravedad","química","medio",7741,7005,0.9049,3696
"sandía","franco","aspersión","química","medio",6721,9453,1.4065,5356
"plátano verde","franco","gravedad","orgánica","alto",6539,24184,3.6984,3550
"maíz","arenoso","aspersión","mixta","medio",6909,8722,1.2624,4208
